protein_id	contig	start	end	strand	type	subtype	margin	profile
casandra|contig=NC_002737.2_complete_genome|cds=000132|loc=144524-145402|strand=-	NC_002737.2_complete_genome	144524	145402	-	V	V-C	210.842	C25_Cas12_C_2
casandra|contig=NC_002737.2_complete_genome|cds=000400|loc=419433-420425|strand=+	NC_002737.2_complete_genome	419433	420425	+	III	III-D	215.963	C25_Csx19_3
casandra|contig=NC_002737.2_complete_genome|cds=000408|loc=428440-429249|strand=+	NC_002737.2_complete_genome	428440	429249	+	VII		231.791	C25_Cas14_1
casandra|contig=NC_002737.2_complete_genome|cds=000499|loc=520868-523369|strand=+	NC_002737.2_complete_genome	520868	523369	+	I		221.817	C25_Cas3_2
casandra|contig=NC_002737.2_complete_genome|cds=000606|loc=631466-634681|strand=+	NC_002737.2_complete_genome	631466	634681	+			216.97	C25_Cas4_3
casandra|contig=NC_002737.2_complete_genome|cds=000607|loc=634678-638310|strand=+	NC_002737.2_complete_genome	634678	638310	+			235.859	C25_Cas4_3
casandra|contig=NC_002737.2_complete_genome|cds=000734|loc=772399-773055|strand=+	NC_002737.2_complete_genome	772399	773055	+			215.63	C25_Cas6_6
casandra|contig=NC_002737.2_complete_genome|cds=000832|loc=854751-858857|strand=+	NC_002737.2_complete_genome	854751	858857	+	II	II-C	1731.89	C25_Cas9_2
casandra|contig=NC_002737.2_complete_genome|cds=000833|loc=858857-859726|strand=+	NC_002737.2_complete_genome	858857	859726	+			381.611	C25_Cas1_1
casandra|contig=NC_002737.2_complete_genome|cds=000834|loc=859753-860064|strand=+	NC_002737.2_complete_genome	859753	860064	+			255.673	C25_Cas2_1
casandra|contig=NC_002737.2_complete_genome|cds=001063|loc=1091216-1093207|strand=-	NC_002737.2_complete_genome	1091216	1093207	-	I		225.899	C25_Cas3_1
casandra|contig=NC_002737.2_complete_genome|cds=001093|loc=1120809-1122092|strand=-	NC_002737.2_complete_genome	1120809	1122092	-			215.453	C25_Cas1_2
casandra|contig=NC_002737.2_complete_genome|cds=001100|loc=1130854-1132524|strand=-	NC_002737.2_complete_genome	1130854	1132524	-	I		217.668	C25_Cas3_1
casandra|contig=NC_002737.2_complete_genome|cds=001188|loc=1215006-1215803|strand=-	NC_002737.2_complete_genome	1215006	1215803	-			218.971	C25_Cas4_3
casandra|contig=NC_002737.2_complete_genome|cds=001263|loc=1283879-1284172|strand=-	NC_002737.2_complete_genome	1283879	1284172	-			311.414	C25_Cas2_1
casandra|contig=NC_002737.2_complete_genome|cds=001264|loc=1284183-1285208|strand=-	NC_002737.2_complete_genome	1284183	1285208	-			563.304	C25_Cas1_1
casandra|contig=NC_002737.2_complete_genome|cds=001265|loc=1285205-1285879|strand=-	NC_002737.2_complete_genome	1285205	1285879	-			458.655	C25_Cas4_1
casandra|contig=NC_002737.2_complete_genome|cds=001266|loc=1285881-1286729|strand=-	NC_002737.2_complete_genome	1285881	1286729	-	I		503.438	C25_Cas7_1
casandra|contig=NC_002737.2_complete_genome|cds=001267|loc=1286734-1288629|strand=-	NC_002737.2_complete_genome	1286734	1288629	-	I	I-C	559.289	C25_Cas8c_1
casandra|contig=NC_002737.2_complete_genome|cds=001268|loc=1288629-1289357|strand=-	NC_002737.2_complete_genome	1288629	1289357	-	I		374.058	C25_Cas5_8__kira20260915
casandra|contig=NC_002737.2_complete_genome|cds=001269|loc=1289490-1291892|strand=-	NC_002737.2_complete_genome	1289490	1291892	-	I		682.583	C25_Cas3_1
casandra|contig=NC_002737.2_complete_genome|cds=001396|loc=1434128-1434484|strand=+	NC_002737.2_complete_genome	1434128	1434484	+	V	V-F	213.242	C25_Cas12_F07_2
casandra|contig=NC_002737.2_complete_genome|cds=001533|loc=1584927-1587905|strand=+	NC_002737.2_complete_genome	1584927	1587905	+	I		222.224	C25_Cas3_2
