feature_kind,feature_ref,feature_id,input_index,sequence_id,contig_id,start,end,strand,result,is_cas,cas_family,class,type,subtype,profile,residue_count,repeat_count,spacer_count,cassette_id,profile_score,score_margin,model_score,method
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=000006|loc=5237-8740|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=000006|loc=5237-8740|strand=+,0,casandra|contig=NC_002737.2_complete_genome|cds=000006|loc=5237-8740|strand=+,NC_002737.2_complete_genome,5237,8740,'+,Cas3,true,Cas3,,I,,C25_Cas3_2,,,,,56.228904724121094,256.2289047241211,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=000017|loc=30545-31741|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=000017|loc=30545-31741|strand=+,1,casandra|contig=NC_002737.2_complete_genome|cds=000017|loc=30545-31741|strand=+,NC_002737.2_complete_genome,30545,31741,'+,Cas12m,true,Cas12m,,V,V-M,C25_Cas12_M_1,,,,,1.899137020111084,201.89913702011108,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=000115|loc=128395-128814|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=000115|loc=128395-128814|strand=-,2,casandra|contig=NC_002737.2_complete_genome|cds=000115|loc=128395-128814|strand=-,NC_002737.2_complete_genome,128395,128814,'-,Cas12b2,true,Cas12b2,,V,V-B,C25_Cas12_B2_1,,,,,10.609885215759277,210.60988521575928,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=000132|loc=144524-145402|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=000132|loc=144524-145402|strand=-,3,casandra|contig=NC_002737.2_complete_genome|cds=000132|loc=144524-145402|strand=-,NC_002737.2_complete_genome,144524,145402,'-,Cas12c,true,Cas12c,,V,V-C,C25_Cas12_C_2,,,,,10.842456817626953,210.84245681762695,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=000172|loc=186985-187764|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=000172|loc=186985-187764|strand=+,4,casandra|contig=NC_002737.2_complete_genome|cds=000172|loc=186985-187764|strand=+,NC_002737.2_complete_genome,186985,187764,'+,Cas14,true,Cas14,,VII,,C25_Cas14_1,,,,,11.301680564880371,211.30168056488037,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=000216|loc=229757-231028|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=000216|loc=229757-231028|strand=+,5,casandra|contig=NC_002737.2_complete_genome|cds=000216|loc=229757-231028|strand=+,NC_002737.2_complete_genome,229757,231028,'+,Cas11a,true,Cas11a,,I,I-A,C25_Cas11a_3,,,,casandra|contig=NC_002737.2_complete_genome|cassette=0006|loc=229757-235674,7.212401866912842,207.21240186691284,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=000217|loc=231018-231956|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=000217|loc=231018-231956|strand=+,6,casandra|contig=NC_002737.2_complete_genome|cds=000217|loc=231018-231956|strand=+,NC_002737.2_complete_genome,231018,231956,'+,Cas10d,true,Cas10d,,I,I-D,C25_Cas10d_6,,,,casandra|contig=NC_002737.2_complete_genome|cassette=0006|loc=229757-235674,12.116935729980469,212.11693572998047,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=000219|loc=233053-235674|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=000219|loc=233053-235674|strand=+,7,casandra|contig=NC_002737.2_complete_genome|cds=000219|loc=233053-235674|strand=+,NC_002737.2_complete_genome,233053,235674,'+,Cas12m,true,Cas12m,,V,V-M,C25_Cas12_M_1,,,,casandra|contig=NC_002737.2_complete_genome|cassette=0006|loc=229757-235674,-21.055221557617188,178.9447784423828,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=000362|loc=386480-387532|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=000362|loc=386480-387532|strand=+,8,casandra|contig=NC_002737.2_complete_genome|cds=000362|loc=386480-387532|strand=+,NC_002737.2_complete_genome,386480,387532,'+,Cas3,true,Cas3,,I,,C25_Cas3_1,,,,,13.490108489990234,213.49010848999023,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=000400|loc=419433-420425|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=000400|loc=419433-420425|strand=+,9,casandra|contig=NC_002737.2_complete_genome|cds=000400|loc=419433-420425|strand=+,NC_002737.2_complete_genome,419433,420425,'+,Csx19,true,Csx19,,III,III-D,C25_Csx19_3,,,,,15.962502479553223,215.96250247955322,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=000408|loc=428440-429249|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=000408|loc=428440-429249|strand=+,10,casandra|contig=NC_002737.2_complete_genome|cds=000408|loc=428440-429249|strand=+,NC_002737.2_complete_genome,428440,429249,'+,Cas14,true,Cas14,,VII,,C25_Cas14_1,,,,,31.790931701660156,231.79093170166016,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=000499|loc=520868-523369|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=000499|loc=520868-523369|strand=+,11,casandra|contig=NC_002737.2_complete_genome|cds=000499|loc=520868-523369|strand=+,NC_002737.2_complete_genome,520868,523369,'+,Cas3,true,Cas3,,I,,C25_Cas3_2,,,,,21.816770553588867,221.81677055358887,,
